"","Team","Rating","Conference"
"1","Mass-Boston",0.968057294387658,"LEC"
"2","Chicago",0.900992800415434,"UAA"
"3","Texas-Tyler",0.872445105949612,"ASC"
"4","Calvin",0.851304139952416,"MIAA"
"5","Hardin-Simmons",0.846082519764999,"ASC"
"6","Christopher Newport",0.796755294787369,"CAC"
"7","Kenyon",0.793453957540548,"NCAC"
"8","St. Norbert",0.778089923139453,"MWC"
"9","Texas-Dallas",0.76912395620036,"ASC"
"10","Amherst",0.759075098199546,"NESCAC"
"11","Case Western Reserve",0.757953063759698,"UAA"
"12","Washington U.",0.753438170324228,"UAA"
"13","Buffalo State",0.749025924106139,"SUNYAC"
"14","Whitworth",0.746068263752599,"NWC"
"15","Emory",0.743317756153304,"UAA"
"16","Rutgers-Newark",0.741379287843686,"NJAC"
"17","Medaille",0.739530946427742,"AMCC"
"18","Puget Sound",0.738389226165315,"NWC"
"19","Middlebury",0.73251384618751,"NESCAC"
"20","Augsburg",0.732086308510895,"MIAC"
"21","Luther",0.730808680897634,"IIAC"
"22","Mary Washington",0.730199585628343,"CAC"
"23","UW-Superior",0.730116851000547,"UMAC"
"24","Rowan",0.727563085343188,"NJAC"
"25","New York University",0.724446685828955,"UAA"
"26","John Carroll",0.717121696049893,"OAC"
"27","Kalamazoo",0.716145268447232,"MIAA"
"28","Springfield",0.713532853121733,"NEWMAC"
"29","Oneonta State",0.712210499381613,"SUNYAC"
"30","Lycoming",0.70746286101569,"MACC"
"31","Adrian",0.707166196585516,"MIAA"
"32","Plattsburgh State",0.703611137216988,"SUNYAC"
"33","Albion",0.703205026277659,"MIAA"
"34","Pacific Lutheran",0.701808840371683,"NWC"
"35","York (Pa.)",0.701320589260656,"CAC"
"36","Macalester",0.700343298719485,"MIAC"
"37","Tufts",0.700114392048498,"NESCAC"
"38","Concordia (Texas)",0.695802633397491,"ASC"
"39","Messiah",0.693352385722784,"MACC"
"40","UW-Platteville",0.691717171047524,"WIAC"
"41","Kean",0.690765649767188,"NJAC"
"42","Clark",0.690240174189466,"NEWMAC"
"43","New Paltz State",0.687626853701569,"SUNYAC"
"44","Knox",0.684237750450365,"MWC"
"45","Simpson",0.6830038201876,"IIAC"
"46","Ohio Northern",0.68296205382689,"OAC"
"47","UC Santa Cruz",0.682637634685793,"IND"
"48","Greensboro",0.68250768844753,"USAC"
"49","Carthage",0.680342625389627,"CCIW"
"50","Brandeis",0.680287792238016,"UAA"
"51","Wheaton (Ill.)",0.67965451336391,"CCIW"
"52","Johnson and Wales",0.679509147342994,"GNAC"
"53","Randolph-Macon",0.678930117526056,"ODAC"
"54","Finlandia",0.678640623881524,""
"55","Whitman",0.677892206036889,"NWC"
"56","Chapman",0.674321599638455,"SCIAC"
"57","UW-Whitewater",0.670536995602336,"WIAC"
"58","Drew",0.670219895397902,"LAND"
"59","Wartburg",0.670080436351015,"IIAC"
"60","Newbury",0.67004314167574,"NECC"
"61","Grove City",0.658908531553752,"PrAC"
"62","Montclair State",0.657860986728061,"NJAC"
"63","St. Joseph's (Maine)",0.657348943726204,"GNAC"
"64","St. Olaf",0.656830497771158,"MIAC"
"65","Wheaton (Mass.)",0.655437226548165,"NEWMAC"
"66","Maryville (Tenn.)",0.65539854116124,"USAC"
"67","Clarkson",0.655037935135064,"LL"
