"","Team","Rating","Conference"
"1","Chicago",4.87756448835772,"UAA"
"2","Amherst",4.86775645232088,"NESCAC"
"3","Rowan",4.68874840625873,"NJAC"
"4","Mass-Boston",4.47130103752921,"LEC"
"5","Trinity (Texas)",4.30501610288631,"SCAC"
"6","Rutgers-Newark",4.29375060279559,"NJAC"
"7","Oneonta State",4.1979888119071,"SUNYAC"
"8","Messiah",3.96875328768,"MACC"
"9","Redlands",3.96150953208068,"SCIAC"
"10","Tufts",3.94890796135822,"NESCAC"
"11","Springfield",3.48084690033306,"NEWMAC"
"12","Christopher Newport",3.47872993786288,"CAC"
"13","Montclair State",3.46096021758372,"NJAC"
"14","Maryville (Tenn.)",3.19755540958286,"USAC"
"15","Franklin and Marshall",3.18648346242364,"CC"
"16","Bowdoin",3.16755094659589,"NESCAC"
"17","Ohio Northern",3.16724620205882,"OAC"
"18","Middlebury",3.15515328797674,"NESCAC"
"19","Williams",2.95758387218245,"NESCAC"
"20","Chapman",2.95093581877808,"SCIAC"
"21","Elizabethtown",2.91003603201685,"LAND"
"22","Hamilton",2.885948446564,"NESCAC"
"23","Cortland State",2.81804120690705,"SUNYAC"
"24","Babson",2.78974528837066,"NEWMAC"
"25","La Verne",2.74759926987682,"SCIAC"
"26","Washington and Lee",2.59785888137226,"ODAC"
"27","Brandeis",2.57508941267297,"UAA"
"28","Kenyon",2.54183718639277,"NCAC"
"29","Lynchburg",2.52335572545082,"ODAC"
"30","Wheaton (Mass.)",2.52304421748981,"NEWMAC"
"31","Lycoming",2.50618235917201,"MACC"
"32","Connecticut College",2.43878426488528,"NESCAC"
"33","Gordon",2.42898127553864,"CCC"
"34","Haverford",2.41536544479352,"CC"
"35","Rutgers-Camden",2.36865111223157,"NJAC"
"36","Kean",2.36258788194347,"NJAC"
"37","Scranton",2.18811060723929,"LAND"
"38","Rhode Island College",2.18717506362193,"LEC"
"39","TCNJ",2.18566169725347,"NJAC"
"40","Calvin",2.1798807249459,"MIAA"
"41","Vassar",2.15307795388634,"LL"
"42","Lebanon Valley",2.11184318421435,"MACC"
"43","Mary Washington",2.09481398440547,"CAC"
"44","Colorado College",2.09372133573273,"SCAC"
"45","Johns Hopkins",2.09116619836871,"CC"
"46","Whitworth",2.07274554750589,"NWC"
"47","John Carroll",2.05810921893614,"OAC"
"48","Drew",2.04123467013013,"LAND"
"49","Case Western Reserve",1.96485095122842,"UAA"
"50","Carthage",1.96297717931017,"CCIW"
"51","Carnegie Mellon",1.95093938469427,"UAA"
"52","Cal Lutheran",1.9142783719209,"SCIAC"
"53","Hood",1.89518931491173,"MACC"
"54","Gettysburg",1.89139133829648,"CC"
"55","Clark",1.87357844327144,"NEWMAC"
"56","Pomona-Pitzer",1.8570338196993,"SCIAC"
"57","Ramapo",1.85189565584587,"NJAC"
"58","Thomas",1.84254965990073,"NAC"
"59","Loras",1.83810114443574,"IIAC"
"60","Misericordia",1.8211505758004,"MACF"
"61","St. Lawrence",1.81803957597789,"LL"
"62","Oberlin",1.81671609582168,"NCAC"
"63","Dickinson",1.80604210470822,"CC"
"64","New Paltz State",1.79027203632387,"SUNYAC"
"65","Claremont-Mudd-Scripps",1.75932372890608,"SCIAC"
"66","Wentworth",1.75772507951165,"CCC"
"67","Endicott",1.73509980351508,"CCC"
"68","Eastern",1.72775003119993,"MACF"
"69","Plattsburgh State",1.71447605786854,"SUNYAC"
"70","Emory",1.71015780879263,"UAA"
"71","Houghton",1.70043102351004,"E8"
"72","Buffalo State",1.68990636465558,"SUNYAC"
"73","Penn State-Behrend",1.68607431391498,"AMCC"
"74","UW-Whitewater",1.673388811794,"WIAC"
"75","Pacific Lutheran",1.66967020694834,"NWC"
"76","St. Mary's (Md.)",1.6649384196672,"CAC"
"77","Texas-Dallas",1.66375138266053,"ASC"
"78","Fredonia State",1.6555867693606,"SUNYAC"
"79","Wesleyan",1.62379770881479,"NESCAC"
"80","RPI",1.62102806683144,"LL"
"81","York (Pa.)",1.61521290974632,"CAC"
"82","Washington U.",1.60140049989348,"UAA"
"83","Coast Guard",1.59236603049191,"NEWMAC"
"84","Ohio Wesleyan",1.5910709066602,"NCAC"
"85","WPI",1.57415194124712,"NEWMAC"
"86","Roanoke",1.55828584498308,"ODAC"
"87","Frostburg State",1.55421551164036,"CAC"
"88","Mass-Dartmouth",1.5537467030966,"LEC"
"89","St. Thomas",1.53998520607453,"MIAC"
"90","Washington College",1.53950971792517,"CC"
"91","Luther",1.53055043629023,"IIAC"
"92","Occidental",1.52346608310286,"SCIAC"
"93","Medaille",1.52186681278272,"AMCC"
"94","Keene State",1.51757038037517,"LEC"
"95","Geneseo State",1.50890169269211,"SUNYAC"
"96","Grove City",1.50586589002277,"PrAC"
"97","North Carolina Wesleyan",1.49607276118949,"USAC"
"98","Macalester",1.49319554598897,"MIAC"
"99","Morrisville State",1.48896025209018,"NEAC"
"100","Trinity (Conn.)",1.48664299389202,"NESCAC"
"101","Stockton",1.47744094617647,"NJAC"
"102","DePauw",1.47699768763095,"NCAC"
"103","Randolph-Macon",1.46663993515577,"ODAC"
"104","Puget Sound",1.46564778644408,"NWC"
"105","Rochester",1.4575095659576,"UAA"
"106","Stevens",1.45711751533533,"E8"
"107","Bates",1.43905668373228,"NESCAC"
"108","Hobart",1.40544438176522,"LL"
"109","Hanover",1.39398657126566,"HCAC"
"110","Wabash",1.38609290291904,"NCAC"
"111","Manhattanville",1.38036276910296,"MACF"
"112","Rose-Hulman",1.37004435355541,"HCAC"
"113","Eastern Connecticut",1.35847674482481,"LEC"
"114","Pacific",1.33395079405074,"NWC"
"115","St. Norbert",1.33168418840469,"MWC"
"116","Hardin-Simmons",1.32602056682247,"ASC"
"117","Virginia Wesleyan",1.32411054089277,"ODAC"
"118","Skidmore",1.30820222725734,"LL"
"119","Benedictine",1.29718386208819,"NACC"
"120","Randolph",1.28870876391756,"ODAC"
"121","Knox",1.28434921858669,"MWC"
"122","Whitman",1.27461416387423,"NWC"
"123","Clarkson",1.24934740397414,"LL"
"124","North Park",1.23907652164867,"CCIW"
"125","Johnson and Wales",1.23762886979312,"GNAC"
"126","MIT",1.2370267347803,"NEWMAC"
"127","Wartburg",1.23201836445843,"IIAC"
"128","Austin",1.23200359710918,"SCAC"
"129","Susquehanna",1.23001578721751,"LAND"
"130","Centre",1.22366815109666,"SAA"
"131","Mary Hardin-Baylor",1.22224980405786,"ASC"
"132","St. Joseph's (Maine)",1.21481879755358,"GNAC"
"133","Swarthmore",1.21288126499358,"CC"
"134","Geneva",1.20320609685411,"PrAC"
"135","Willamette",1.19443756027104,"NWC"
"136","Western New England",1.18945311809051,"CCC"
"137","Capital",1.1871816698639,"OAC"
"138","Thomas More",1.17851250610855,"PrAC"
"139","Union",1.17749582485323,"LL"
"140","Colby",1.17618777535577,"NESCAC"
"141","Penn State-Harrisburg",1.17074046682312,"CAC"
"142","Oglethorpe",1.16907905083871,"SAA"
"143","Salisbury",1.16744103418186,"CAC"
"144","Alvernia",1.1641055525163,"MACC"
