"","Team","Rating","Conference"
"1","Amherst",5.75905788321984,"NESCAC"
"2","Trinity (Texas)",4.64323799955838,"SCAC"
"3","Chicago",4.60629329677371,"UAA"
"4","Messiah",4.59194679152616,"MACC"
"5","Redlands",4.48774064255687,"SCIAC"
"6","Mass-Boston",4.43805654486405,"LEC"
"7","Rutgers-Newark",4.02513103945263,"NJAC"
"8","Rowan",4.02297852235972,"NJAC"
"9","Springfield",3.98217895845964,"NEWMAC"
"10","Oneonta State",3.97730909005054,"SUNYAC"
"11","Montclair State",3.8917890771795,"NJAC"
"12","Tufts",3.79871484246938,"NESCAC"
"13","Christopher Newport",3.57855454209605,"CAC"
"14","Bowdoin",3.22159522856875,"NESCAC"
"15","Chapman",3.15233400159191,"SCIAC"
"16","Franklin and Marshall",3.1448784969366,"CC"
"17","Maryville (Tenn.)",3.13295110959607,"USAC"
"18","Middlebury",3.09466227473548,"NESCAC"
"19","Cortland State",3.08187754204507,"SUNYAC"
"20","Ohio Northern",3.04621546032174,"OAC"
"21","Calvin",2.99635743196467,"MIAA"
"22","Hamilton",2.94816806315448,"NESCAC"
"23","Washington and Lee",2.8636873509791,"ODAC"
"24","Williams",2.80330257135216,"NESCAC"
"25","Lynchburg",2.78073352504051,"ODAC"
"26","Elizabethtown",2.76153221095379,"LAND"
"27","Babson",2.71710332276605,"NEWMAC"
"28","Wheaton (Mass.)",2.66854903781636,"NEWMAC"
"29","Haverford",2.66616695099542,"CC"
"30","Kenyon",2.62097930784591,"NCAC"
"31","La Verne",2.61903557730381,"SCIAC"
"32","Brandeis",2.4767763879117,"UAA"
"33","Carnegie Mellon",2.35235147541385,"UAA"
"34","Gordon",2.33976920597871,"CCC"
"35","Scranton",2.32304978796374,"LAND"
"36","Rhode Island College",2.31975652166719,"LEC"
"37","Connecticut College",2.3048122163354,"NESCAC"
"38","Kean",2.28106834878274,"NJAC"
"39","Lycoming",2.27922783753805,"MACC"
"40","Rutgers-Camden",2.22532709549151,"NJAC"
"41","Vassar",2.22461420294034,"LL"
"42","Colorado College",2.20038379909502,"SCAC"
"43","John Carroll",2.16533572458759,"OAC"
"44","Johns Hopkins",2.14313124185648,"CC"
"45","Mary Washington",2.0843793401212,"CAC"
"46","Whitworth",2.04396140656202,"NWC"
"47","TCNJ",2.03675383677746,"NJAC"
"48","Lebanon Valley",2.0183231369344,"MACC"
"49","Carthage",1.99011614763208,"CCIW"
"50","Penn State-Behrend",1.97183854679853,"AMCC"
"51","Drew",1.95515175374541,"LAND"
"52","Clark",1.95471378972274,"NEWMAC"
"53","St. Lawrence",1.93103707257409,"LL"
"54","Washington U.",1.91858033354431,"UAA"
"55","Case Western Reserve",1.87332120712372,"UAA"
"56","Oberlin",1.83849953566179,"NCAC"
"57","Cal Lutheran",1.82106301934474,"SCIAC"
"58","Misericordia",1.81482605560172,"MACF"
"59","Gettysburg",1.81215743506081,"CC"
"60","Texas-Dallas",1.81119227611178,"ASC"
"61","Pomona-Pitzer",1.76837095924998,"SCIAC"
"62","Thomas",1.75214287093161,"NAC"
"63","Ramapo",1.75199039994382,"NJAC"
