"","Team","Rating","Conference"
"1","TCNJ",17.7236625514079,"NJAC"
"2","William Smith",16.0901712068828,"LL"
"3","Williams",10.647552564251,"NESCAC"
"4","Thomas More",9.58852528437408,"PrAC"
"5","Johns Hopkins",8.72079577025114,"CC"
"6","Stevens",8.69665437909975,"E8"
"7","Messiah",8.36777106003598,"MACC"
"8","Pomona-Pitzer",8.28536770069805,"SCIAC"
"9","Amherst",6.89053816181498,"NESCAC"
"10","Hardin-Simmons",6.615195224174,"ASC"
"11","Lynchburg",6.52327691888744,"ODAC"
"12","Scranton",6.38497802267076,"LAND"
"13","Trinity (Conn.)",6.17191437657051,"NESCAC"
"14","McDaniel",5.93270749164147,"CC"
"15","Middlebury",5.72685402989994,"NESCAC"
"16","Arcadia",5.15378837833837,"MACC"
"17","Chicago",4.96587718780908,"UAA"
"18","Trinity (Texas)",4.85274958477527,"SCAC"
"19","Connecticut College",4.81306466615468,"NESCAC"
"20","Claremont-Mudd-Scripps",4.75889995384076,"SCIAC"
"21","Misericordia",4.74625361382958,"MACF"
"22","Cal Lutheran",4.35837624823517,"SCIAC"
"23","Rowan",4.09511043797359,"NJAC"
"24","RPI",4.00328661155932,"LL"
"25","Geneseo State",3.95998451241471,"SUNYAC"
"26","Nazareth",3.94866850776413,"E8"
"27","Pacific Lutheran",3.79038598155948,"NWC"
"28","Bowdoin",3.74500308526385,"NESCAC"
"29","Swarthmore",3.5416042814707,"CC"
"30","Buffalo State",3.48284176895392,"SUNYAC"
"31","Washington and Lee",3.2409848837918,"ODAC"
"32","Wentworth",3.19453005571662,"CCC"
"33","Brandeis",3.19380437448844,"UAA"
"34","Puget Sound",3.18417968815445,"NWC"
"35","Montclair State",3.09805865956671,"NJAC"
"36","Tufts",3.05159625293741,"NESCAC"
"37","New York University",2.98331802759503,"UAA"
"38","Keene State",2.94510301397519,"LEC"
"39","Centre",2.92819950489327,"SAA"
"40","Carnegie Mellon",2.9151449343252,"UAA"
"41","Ursinus",2.78092866465408,"CC"
"42","Washington U.",2.70334061823094,"UAA"
"43","Whittier",2.7013851685693,"SCIAC"
"44","MIT",2.67184818967146,"NEWMAC"
"45","Virginia Wesleyan",2.55087268963572,"ODAC"
"46","Haverford",2.52075105914354,"CC"
"47","Vassar",2.49642069578409,"LL"
"48","Bridgewater (Va.)",2.45431381013394,"ODAC"
"49","St. Lawrence",2.4246674020096,"LL"
"50","Farmingdale State",2.37339106237457,"SKY"
"51","Eastern Connecticut",2.32862971359687,"LEC"
"52","Endicott",2.28924957920439,"CCC"
"53","Oneonta State",2.28558699825154,"SUNYAC"
"54","Stockton",2.26195727218989,"NJAC"
"55","St. Mary's (Md.)",2.24767575311203,"CAC"
"56","UW-Whitewater",2.17855150815071,"WIAC"
"57","Christopher Newport",2.17173093235657,"CAC"
"58","Emory",2.15939477082747,"UAA"
"59","Western Connecticut",2.13583048331345,"LEC"
"60","Ohio Northern",2.02360105391203,"OAC"
"61","Occidental",1.97105078937096,"SCIAC"
"62","Rochester",1.9688209124788,"UAA"
"63","Denison",1.90484445697686,"NCAC"
"64","WPI",1.89556581358976,"NEWMAC"
"65","Ithaca",1.88217791106966,"E8"
"66","Wittenberg",1.86395508763025,"NCAC"
"67","Grove City",1.86337736716799,"PrAC"
"68","Susquehanna",1.84181564631063,"LAND"
"69","Hanover",1.78462280261424,"HCAC"
"70","Hartwick",1.78145570831961,"E8"
"71","Gettysburg",1.77703182890609,"CC"
"72","Muhlenberg",1.75235070539133,"CC"
"73","Chapman",1.70663440235042,"SCIAC"
"74","Penn State-Behrend",1.68713280924434,"AMCC"
"75","Lasell",1.65983345343082,"GNAC"
"76","Mary Hardin-Baylor",1.65289807012563,"ASC"
