"","Team","Rating","Conference"
"1","William Smith",18.6688803864514,"LL"
"2","TCNJ",14.2530810184408,"NJAC"
"3","Johns Hopkins",9.71885383627339,"CC"
"4","Messiah",9.349220479739,"MACC"
"5","Hardin-Simmons",9.24090565895755,"ASC"
"6","Williams",8.94634188910697,"NESCAC"
"7","Thomas More",8.77571448863823,"PrAC"
"8","Stevens",8.57401867757575,"E8"
"9","Pomona-Pitzer",8.37305293695563,"SCIAC"
"10","Amherst",8.22549705940567,"NESCAC"
"11","Rowan",6.19813791315887,"NJAC"
"12","Lynchburg",6.07414584141388,"ODAC"
"13","Scranton",6.06368574360325,"LAND"
"14","Trinity (Conn.)",5.79493894858167,"NESCAC"
"15","Claremont-Mudd-Scripps",5.76927015786401,"SCIAC"
"16","McDaniel",5.38566152604254,"CC"
"17","Misericordia",5.05514639651806,"MACF"
"18","Trinity (Texas)",5.03712989955157,"SCAC"
"19","Pacific Lutheran",5.0145777760462,"NWC"
"20","Arcadia",4.92596756303939,"MACC"
"21","Middlebury",4.70198349439034,"NESCAC"
"22","Cal Lutheran",4.2241484941849,"SCIAC"
"23","Geneseo State",4.0517768123679,"SUNYAC"
"24","Washington and Lee",3.95844707244535,"ODAC"
"25","Buffalo State",3.88786351194898,"SUNYAC"
"26","Chicago",3.8610439447364,"UAA"
"27","Washington U.",3.67498313792785,"UAA"
"28","Nazareth",3.63505489362744,"E8"
"29","RPI",3.4316279765675,"LL"
"30","Wentworth",3.38212651474437,"CCC"
"31","Virginia Wesleyan",3.35645397014579,"ODAC"
"32","Montclair State",3.33905868019164,"NJAC"
"33","Carnegie Mellon",3.33033745513778,"UAA"
"34","Swarthmore",3.17331372206506,"CC"
"35","Connecticut College",3.16441133288677,"NESCAC"
"36","Puget Sound",3.06908887142207,"NWC"
"37","New York University",3.06709832365145,"UAA"
"38","Centre",2.97579505401196,"SAA"
"39","Bowdoin",2.91992351631401,"NESCAC"
"40","Whittier",2.9031785045278,"SCIAC"
"41","Brandeis",2.84542993288441,"UAA"
"42","UW-Whitewater",2.71304902017438,"WIAC"
"43","Western Connecticut",2.56937270547114,"LEC"
"44","MIT",2.46896390409305,"NEWMAC"
"45","Grove City",2.42457813375928,"PrAC"
"46","Rochester",2.39000132820819,"UAA"
"47","Tufts",2.38944247024136,"NESCAC"
"48","Keene State",2.37678084624744,"LEC"
"49","Emory",2.33330181779548,"UAA"
"50","WPI",2.28127245143359,"NEWMAC"
"51","Ursinus",2.25474097261565,"CC"
"52","Farmingdale State",2.23466742898869,"SKY"
"53","Vassar",2.2092614160786,"LL"
"54","St. Lawrence",2.20704869468841,"LL"
"55","Ithaca",2.19378103545391,"E8"
"56","Chapman",2.1722648885783,"SCIAC"
"57","Christopher Newport",2.17067706554598,"CAC"
"58","Haverford",2.16843281745513,"CC"
"59","Ohio Northern",2.11213142985962,"OAC"
"60","Oneonta State",2.0662691359932,"SUNYAC"
"61","St. Mary's (Md.)",1.98619780155838,"CAC"
"62","Penn State-Behrend",1.98266279642028,"AMCC"
"63","Stockton",1.96691381663334,"NJAC"
"64","Occidental",1.96598496795454,"SCIAC"
"65","Denison",1.96323116426039,"NCAC"
"66","Wittenberg",1.94250434912733,"NCAC"
"67","Endicott",1.89742395042671,"CCC"
"68","Hartwick",1.87378030442147,"E8"
"69","Hanover",1.79653087304147,"HCAC"
"70","Bridgewater (Va.)",1.78416260013028,"ODAC"
"71","Eastern Connecticut",1.77985264598146,"LEC"
"72","Roanoke",1.7236311238525,"ODAC"
"73","Susquehanna",1.67552411889341,"LAND"
"74","Muhlenberg",1.67160840340301,"CC"
"75","Augsburg",1.59967471025409,"MIAC"
"76","Mary Hardin-Baylor",1.59010966346399,"ASC"
"77","St. Thomas",1.58447407314113,"MIAC"
"78","Washington and Jefferson",1.58062040625219,"PrAC"
"79","Texas-Tyler",1.52691107218324,"ASC"
"80","Gettysburg",1.49769902218626,"CC"
"81","Baldwin Wallace",1.46172443149946,"OAC"
"82","Linfield",1.45725616015511,"NWC"
"83","Illinois Wesleyan",1.4530572520769,"CCIW"
"84","Lasell",1.43690308094766,"GNAC"
"85","Franklin",1.41438152018699,"HCAC"
"86","Wheaton (Mass.)",1.40166779320862,"NEWMAC"
"87","Springfield",1.39838189557557,"NEWMAC"
"88","Whitworth",1.39410965483703,"NWC"
"89","Shenandoah",1.38140471208635,"ODAC"
"90","Catholic",1.35218952508463,"LAND"
"91","Penn State-Berks",1.32699742759444,"NEAC"
"92","Moravian",1.29780897249655,"LAND"
"93","Willamette",1.29749983734989,"NWC"
"94","Mary Washington",1.2749761421104,"CAC"
"95","Stevenson",1.26380158165852,"MACC"
"96","Redlands",1.26130138250951,"SCIAC"
"97","Babson",1.22012761492877,"NEWMAC"
"98","Rochester Tech",1.21507883080771,"LL"
"99","Kean",1.20416827694353,"NJAC"
"100","Hope",1.19447266105482,"MIAA"
"101","Lebanon Valley",1.192990195838,"MACC"
"102","Wheaton (Ill.)",1.18928945430576,"CCIW"
"103","Albright",1.16207556527155,"MACC"
"104","Rhodes",1.1136920905413,"SAA"
"105","Union",1.07523919782755,"LL"
"106","Frostburg State",1.07496720725724,"CAC"
"107","Oswego State",1.06823511159639,"SUNYAC"
"108","Skidmore",1.05437342229913,"LL"
"109","Whitman",1.04748340619299,"NWC"
"110","Pacific",1.04529484760156,"NWC"
"111","Lewis and Clark",1.02080388091337,"NWC"
"112","Rutgers-Camden",1.01455661083176,"NJAC"
"113","Mount Union",1.00894883249135,"OAC"
"114","Luther",0.999153271569327,"IIAC"
"115","Southwestern",0.998327017900676,"SCAC"
"116","Dickinson",0.997211014683228,"CC"
"117","Cortland State",0.996376683204241,"SUNYAC"
"118","Plattsburgh State",0.98495561450946,"SUNYAC"
"119","Case Western Reserve",0.98091580159712,"UAA"
"120","Franklin and Marshall",0.98068246323776,"CC"
"121","Carroll",0.974163241415781,"CCIW"
"122","La Verne",0.961600598359566,"SCIAC"
"123","DePauw",0.942519725281904,"NCAC"
"124","Brockport State",0.918069737920849,"SUNYAC"
"125","John Carroll",0.917077217592326,"OAC"
"126","Potsdam State",0.914694933870769,"SUNYAC"
"127","Texas-Dallas",0.907306866118125,"ASC"
"128","William Paterson",0.900003473778592,"NJAC"
"129","Roger Williams",0.899106704119019,"CCC"
"130","Colby",0.888042945326976,"NESCAC"
"131","Kalamazoo",0.86623249212399,"MIAA"
"132","Salem",0.860466571722713,"GSAC"
"133","University of New England",0.85965947319516,"CCC"
"134","Elms",0.842664282433361,"NECC"
"135","Salisbury",0.813993272355733,"CAC"
"136","Capital",0.801282126544447,"OAC"
"137","DeSales",0.796839998723385,"MACF"
"138","Berry",0.790350056852356,"SAA"
"139","FDU-Florham",0.747662685900787,"MACF"
"140","Loras",0.735218348541828,"IIAC"
"141","Hamilton",0.717590155224879,"NESCAC"
"142","UW-La Crosse",0.704605260748053,"WIAC"
"143","Wesleyan",0.699406273496443,"NESCAC"
"144","Allegheny",0.695241105437299,"NCAC"
"145","Wartburg",0.693751487713257,"IIAC"
"146","Piedmont",0.685008034202799,"USAC"
"147","Houghton",0.684446987657976,"E8"
"148","Eastern",0.681690605178146,"MACF"
"149","Lesley",0.681108250960683,"NECC"
"150","Knox",0.665373426387954,"MWC"
"151","Sewanee",0.650888907781492,"SAA"
"152","Otterbein",0.649246846798642,"OAC"
"153","Westfield State",0.645634112343594,"MASCAC"
"154","Wilkes",0.639127885871234,"MACF"
"155","Wellesley",0.637292246107213,"NEWMAC"
"156","UW-Eau Claire",0.627215514488868,"WIAC"
"157","Chatham",0.624292246376812,"PrAC"
"158","Johnson and Wales",0.617021561104537,"GNAC"
"159","Elizabethtown",0.613302549639849,"LAND"
"160","Smith",0.583231396741485,"NEWMAC"
"161","Wooster",0.579062270536815,"NCAC"
"162","UW-Oshkosh",0.564580382104393,"WIAC"
"163","Randolph-Macon",0.563970755846721,"ODAC"
"164","George Fox",0.563886363561259,"NWC"
"165","St. John Fisher",0.557353744989583,"E8"
"166","Bethel",0.553968710199338,"MIAC"
"167","Alfred",0.548806412999307,"E8"
"168","Saint Benedict",0.547359115836043,"MIAC"
"169","Hamline",0.545766848841644,"MIAC"
"170","Albion",0.543293456362222,"MIAA"
"171","Clarkson",0.537894312884565,"LL"
"172","Macalester",0.537488350984405,"MIAC"
"173","St. Olaf",0.529837718869297,"MIAC"
"174","Framingham State",0.529269461098797,"MASCAC"
"175","UC Santa Cruz",0.528674122597523,"IND"
"176","Bard",0.522251215637425,"LL"
"177","Castleton",0.520737281076405,"NAC"
"178","North Carolina Wesleyan",0.513468602205956,"USAC"
"179","Calvin",0.512973873733068,"MIAA"
"180","Carthage",0.508221267654998,"CCIW"
"181","Ferrum",0.496739404311334,"USAC"
"182","Alma",0.494794989553614,"MIAA"
"183","Mount St. Joseph",0.49218183979776,"HCAC"
"184","Kenyon",0.48706635791392,"NCAC"
"185","Covenant",0.486708152305327,"USAC"
"186","Central",0.485789403131887,"IIAC"
"187","Milwaukee Engineering",0.473207898253769,"NACC"
"188","Westminster (Pa.)",0.47276887743687,"PrAC"
"189","York (Pa.)",0.469047831818784,"CAC"
"190","Coast Guard",0.460950821783292,"NEWMAC"
"191","Emerson",0.455450227649167,"NEWMAC"
"192","Clark",0.452121872056923,"NEWMAC"
"193","St. Catherine",0.449511180259571,"MIAC"
"194","Methodist",0.444110885981097,"USAC"
"195","Bridgewater State",0.43195400311703,"MASCAC"
"196","Wilmington",0.412017377266435,"OAC"
"197","Gustavus Adolphus",0.408108445228699,"MIAC"
"198","Lycoming",0.407241831906141,"MACC"
"199","Bates",0.403385367832927,"NESCAC"
"200","Oberlin",0.402986428969324,"NCAC"
"201","Schreiner",0.398109589509277,"SCAC"
"202","Goucher",0.393821624672562,"LAND"
"203","Lancaster Bible",0.393504864351065,"NEAC"
"204","UW-Stout",0.388254961286199,"WIAC"
"205","Meredith",0.385949046429372,"USAC"
"206","Mount Holyoke",0.384654356322808,"NEWMAC"
"207","Hendrix",0.379362347208124,"SAA"
"208","Rose-Hulman",0.375476718466356,"HCAC"
"209","Plymouth State",0.367165754144246,"LEC"
"210","Simmons",0.365213188898563,"GNAC"
"211","King's",0.359752537876567,"MACF"
"212","Augustana",0.352195931746725,"CCIW"
"213","Worcester State",0.349933754947358,"MASCAC"
"214","Curry",0.348359236237389,"CCC"
"215","Ohio Wesleyan",0.342918536590484,"NCAC"
"216","Ripon",0.340794461435132,"MWC"
"217","Greensboro",0.340465574964481,"USAC"
"218","Staten Island",0.339528703564115,"CUNYAC"
"219","Transylvania",0.337815776381503,"HCAC"
"220","Gordon",0.326216133817791,"CCC"
"221","Maine Maritime",0.326086928795242,"NAC"
"222","LeTourneau",0.325576186822661,"ASC"
"223","Hiram",0.325490740278228,"NCAC"
"224","Sage",0.321089848744196,"SKY"
"225","Elmhurst",0.32077353637518,"CCIW"
"226","New England College",0.320130432523028,"NAC"
"227","Texas Lutheran",0.315742245864549,"SCAC"
"228","Maryville (Tenn.)",0.311526748429197,"USAC"
"229","St. Vincent",0.309055330561563,"PrAC"
"230","Albertus Magnus",0.303742949992559,"GNAC"
"231","Mount Aloysius",0.296187635492813,"AMCC"
"232","Drew",0.285396296429744,"LAND"
"233","D'Youville",0.283515996866785,"AMCC"
"234","Mount St. Mary",0.282469799812696,"SKY"
"235","Washington College",0.27926672137869,"CC"
"236","Franciscan",0.278353061360673,"AMCC"
"237","Penn State-Harrisburg",0.276831215672618,"CAC"
"238","Penn College",0.273093158646139,"NEAC"
"239","Adrian",0.272345524176015,"MIAA"
"240","Mass-Dartmouth",0.269958803912577,"LEC"
"241","Pitt-Greensburg",0.268055329966792,"AMCC"
"242","Colby-Sawyer",0.266695003517884,"NAC"
"243","Pitt-Bradford",0.243968461761191,"AMCC"
"244","Hilbert",0.243966344098422,"AMCC"
"245","St. Norbert",0.239086813352821,"MWC"
"246","Heidelberg",0.23881857547236,"OAC"
"247","Edgewood",0.238772173085715,"NACC"
"248","Carleton",0.238418756812027,"MIAC"
"249","Averett",0.23497738608836,"USAC"
"250","Marietta",0.23121708816348,"OAC"
"251","Fredonia State",0.231191473337424,"SUNYAC"
"252","Dominican",0.223783569899518,"NACC"
"253","Salve Regina",0.221349880667435,"CCC"
"254","Webster",0.220431655586656,"SLIAC"
"255","Aurora",0.220378300792701,"NACC"
"256","Coe",0.218182778357241,"IIAC"
"257","Mount St. Vincent",0.217209235702353,"SKY"
"258","Grinnell",0.214821763284919,"MWC"
"259","St. Joseph's (Maine)",0.213220506013327,"GNAC"
"260","Randolph",0.209921223064892,"ODAC"
"261","New Paltz State",0.209428980105307,"SUNYAC"
"262","Lake Forest",0.209428135120129,"MWC"
"263","Emmanuel",0.207801529847229,"GNAC"
"264","UW-Platteville",0.207231883905966,"WIAC"
"265","Concordia-Moorhead",0.206409428785261,"MIAC"
"266","Concordia (Wis.)",0.206325312277861,"NACC"
"267","Anderson",0.203452747316233,"HCAC"
"268","University of the Ozarks",0.201908477436077,"ASC"
"269","UW-River Falls",0.198172765180054,"WIAC"
"270","Millikin",0.191924912237838,"CCIW"
"271","Trine",0.18950052213465,"MIAA"
"272","North Central (Ill.)",0.177361884393778,"CCIW"
"273","North Park",0.174526548264281,"CCIW"
"274","Keuka",0.173828983722817,"NEAC"
"275","Husson",0.172264461186311,"NAC"
"276","Cabrini",0.170032189709329,"CSAC"
"277","Widener",0.169860844123588,"MACC"
"278","Eastern Mennonite",0.168891372910227,"ODAC"
"279","Olivet",0.165689470624237,"MIAA"
"280","Ramapo",0.164009747317054,"NJAC"
"281","Geneva",0.163573019693267,"PrAC"
"282","Sul Ross State",0.16261221548677,"ASC"
"283","Juniata",0.162328103713658,"LAND"
"284","Delaware Valley",0.162265094723299,"MACF"
"285","Bethany",0.159082296481794,"PrAC"
"286","Waynesburg",0.156156975465638,"PrAC"
"287","Western New England",0.154791690240105,"CCC"
"288","Penn State-Altoona",0.15115353211178,"AMCC"
"289","Fontbonne",0.150784344230622,"SLIAC"
"290","Gwynedd-Mercy",0.145052371050077,"CSAC"
"291","Alvernia",0.144756722801458,"MACC"
"292","Concordia-Chicago",0.144174114931547,"NACC"
"293","Utica",0.143713762633713,"E8"
"294","Spalding",0.140672921267228,"SLIAC"
"295","New Jersey City",0.13895440257401,"NJAC"
"296","Dubuque",0.135970849078798,"IIAC"
"297","East Texas Baptist",0.132858480178857,"ASC"
"298","Benedictine",0.132522407139204,"NACC"
"299","Suffolk",0.129081062275783,"GNAC"
"300","St. Scholastica",0.126141517488531,"UMAC"
"301","La Roche",0.123041214913467,"AMCC"
"302","St. Joseph (Conn.)",0.122275100388304,"GNAC"
"303","Concordia (Texas)",0.119588354731226,"ASC"
"304","Mass-Boston",0.119421229676134,"LEC"
"305","Penn State-Abington",0.118439896499705,"NEAC"
"306","Manhattanville",0.118137638419082,"MACF"
"307","UW-Stevens Point",0.115392160228554,"WIAC"
"308","SUNY Poly",0.11478087967771,"NEAC"
"309","Birmingham-Southern",0.113496326259906,"SAA"
"310","Marymount",0.111958190866128,"CAC"
"311","Marywood",0.105674742371027,"CSAC"
"312","Guilford",0.105332904748627,"ODAC"
