"","Team","Rating","Conference"
"1","New Paltz State",0.951641018374276,"SUNYAC"
"2","UW-Platteville",0.915295173656163,"WIAC"
"3","Wilson",0.852242086303587,"NEAC"
"4","Mount St. Vincent",0.852163382592528,"SKY"
"5","SUNY-Old Westbury",0.846889910399075,"SKY"
"6","Allegheny",0.830234882824184,"NCAC"
"7","Randolph-Macon",0.827774762038316,"ODAC"
"8","Knox",0.82455644275498,"MWC"
"9","Wartburg",0.817928686523565,"IIAC"
"10","Keene State",0.816546646488343,"LEC"
"11","Mass-Boston",0.797222893572415,"LEC"
"12","Waynesburg",0.796668214043181,"PrAC"
"13","Gettysburg",0.791107047506891,"CC"
"14","Cortland State",0.791041224894461,"SUNYAC"
"15","Calvin",0.787805923279091,"MIAA"
"16","Whitman",0.787796637516541,"NWC"
"17","Illinois College",0.787704142938934,"MWC"
"18","Southwestern",0.786838270749229,"SCAC"
"19","Potsdam State",0.786019017495504,"SUNYAC"
"20","Washington and Lee",0.785645323233384,"ODAC"
"21","Carnegie Mellon",0.785141620501141,"UAA"
"22","Clarkson",0.784809382918008,"LL"
"23","Loras",0.776648740845505,"IIAC"
"24","Johns Hopkins",0.776510827519954,"CC"
"25","University of Dallas",0.772706533572677,"SCAC"
"26","New Jersey City",0.771736956829067,"NJAC"
"27","Mount Union",0.7685626403586,"OAC"
"28","Franciscan",0.763277556433999,"AMCC"
"29","Whitworth",0.759155588283196,"NWC"
"30","Rivier",0.758141507018313,"GNAC"
"31","Lycoming",0.756060602510095,"MACC"
"32","Bowdoin",0.754464285714286,"NESCAC"
"33","Brandeis",0.753679501506215,"UAA"
"34","Clark",0.752711663940927,"NEWMAC"
"35","DeSales",0.751044825774991,"MACF"
"36","Elmhurst",0.749934012892491,"CCIW"
"37","Colorado College",0.749923956433147,"SCAC"
"38","Connecticut College",0.748825501837524,"NESCAC"
"39","Dean",0.745458002130315,"NECC"
"40","Hampden-Sydney",0.743910708394007,"ODAC"
"41","Western Connecticut",0.743100641464133,"LEC"
"42","UW-Whitewater",0.735240251065089,"WIAC"
"43","Montclair State",0.734013603683396,"NJAC"
"44","Oberlin",0.732984868067612,"NCAC"
"45","St. Joseph's (Maine)",0.727678571428572,"GNAC"
"46","Ursinus",0.727624856786021,"CC"
"47","Scranton",0.724835140656535,"LAND"
"48","Wesleyan",0.720612187899913,"NESCAC"
"49","Alvernia",0.719898888057119,"MACC"
"50","St. Lawrence",0.713806380436432,"LL"
"51","LeTourneau",0.711199036755465,"ASC"
"52","Gustavus Adolphus",0.70630144212416,"MIAC"
"53","Lesley",0.70629188243758,"NECC"
"54","Randolph",0.705646094201765,"ODAC"
"55","Becker",0.703878794617661,"NECC"
"56","Ferrum",0.703704306025295,"USAC"
"57","Christopher Newport",0.700072209766678,"CAC"
"58","Birmingham-Southern",0.699287128822059,"SAA"
"59","Oneonta State",0.698326486408885,"SUNYAC"
"60","Benedictine",0.69758249156314,"NACC"
"61","Skidmore",0.697552114937433,"LL"
"62","Cairn",0.695859624957273,"CSAC"
"63","Messiah",0.689982978035705,"MACC"
"64","Franklin and Marshall",0.688886052822626,"CC"
"65","Lebanon Valley",0.688357763313099,"MACC"
"66","Medaille",0.683302931103798,"AMCC"
"67","St. Norbert",0.682945605424978,"MWC"
"68","Sarah Lawrence",0.68045052261097,"SKY"
"69","Eastern Mennonite",0.680334860309003,"ODAC"
"70","Worcester State",0.678252450649705,"MASCAC"
"71","Edgewood",0.676497555220037,"NACC"
"72","Millikin",0.673036593453441,"CCIW"
"73","Heidelberg",0.671020735215871,"OAC"
"74","Maine-Farmington",0.669631478456837,"NAC"
"75","Augustana",0.664256410597471,"CCIW"
