"","Team","Rating","Conference"
"1","Messiah",12.6049109225222,"MACC"
"2","Dickinson",8.69309004968813,"CC"
"3","Pomona-Pitzer",8.50851136655901,"SCIAC"
"4","MIT",8.2338436344519,"NEWMAC"
"5","Randolph-Macon",8.2112617238606,"ODAC"
"6","TCNJ",7.86655294307817,"NJAC"
"7","Arcadia",7.71520545668616,"MACC"
"8","Centre",7.62436636932328,"SAA"
"9","Johns Hopkins",7.17932564521796,"CC"
"10","Christopher Newport",7.13806972951931,"CAC"
"11","William Smith",7.06505217255263,"LL"
"12","Gettysburg",6.68365276318018,"CC"
"13","Cal Lutheran",6.21874266133597,"SCIAC"
"14","Haverford",6.11785934975121,"CC"
"15","Wheaton (Ill.)",5.80543088344942,"CCIW"
"16","Washington U.",5.6265423358638,"UAA"
"17","Tufts",5.26619086931361,"NESCAC"
"18","Salisbury",5.10650553475142,"CAC"
"19","Claremont-Mudd-Scripps",4.83956510861276,"SCIAC"
"20","McDaniel",4.73413284138605,"CC"
"21","Stevens",4.70229549365845,"MACF"
"22","Swarthmore",4.61165510076489,"CC"
"23","Washington and Lee",4.51314896918577,"ODAC"
"24","Chapman",4.50329847062167,"SCIAC"
"25","Middlebury",4.05739432744022,"NESCAC"
"26","Virginia Wesleyan",4.0215145480769,"ODAC"
"27","Chicago",3.90375020867937,"UAA"
"28","Amherst",3.90036302189354,"NESCAC"
"29","Emory",3.80982652559358,"UAA"
"30","Geneseo State",3.65497479652053,"SUNYAC"
"31","St. Thomas",3.58543428410305,"MIAC"
"32","Misericordia",3.27587856297966,"MACF"
"33","Case Western Reserve",3.19931502193124,"UAA"
"34","Trinity (Texas)",3.19651743196595,"SCAC"
"35","Pacific Lutheran",3.10029275141016,"NWC"
"36","Susquehanna",3.04114116742877,"LAND"
"37","Elizabethtown",3.03324023100174,"LAND"
"38","Otterbein",2.91156343514556,"OAC"
"39","Williams",2.85655123006608,"NESCAC"
"40","Wartburg",2.8434011066277,"ARC"
"41","Roanoke",2.7885842192161,"ODAC"
"42","Scranton",2.74237079679269,"LAND"
"43","Hardin-Simmons",2.71563835281589,"ASC"
"44","Franklin and Marshall",2.68948039872392,"CC"
"45","Ohio Northern",2.67739768889441,"OAC"
"46","Lynchburg",2.66880493437144,"ODAC"
"47","Bridgewater (Va.)",2.64579076718022,"ODAC"
"48","Muhlenberg",2.54930427530034,"CC"
"49","Mary Washington",2.50683083655196,"CAC"
"50","Rochester",2.48885280951478,"UAA"
"51","Occidental",2.45044702929996,"SCIAC"
"52","RIT",2.39149296757922,"LL"
"53","Hamilton",2.3842474716698,"NESCAC"
"54","Stockton",2.36220625231077,"NJAC"
"55","Montclair State",2.31612702053564,"NJAC"
"56","Augsburg",2.31095335291664,"MIAC"
"57","St. Lawrence",2.30481464571121,"LL"
"58","Wesleyan",2.30440700119739,"NESCAC"
"59","WPI",2.28716056500246,"NEWMAC"
"60","Illinois Wesleyan",2.27014512306423,"CCIW"
"61","Carnegie Mellon",2.21995947482876,"UAA"
"62","Capital",2.21692925535082,"OAC"
"63","Connecticut College",2.16364531155983,"NESCAC"
"64","Albright",2.14381193759938,"MACC"
"65","Puget Sound",2.09901897657901,"NWC"
"66","New York University",2.03965861851509,"UAA"
"67","York (Pa.)",1.9225332990862,"CAC"
"68","UW-La Crosse",1.90259712477479,"WIAC"
"69","DeSales",1.89904592401511,"MACF"
"70","Redlands",1.89294186009037,"SCIAC"
"71","Washington College",1.83672289183014,"CC"
"72","Catholic",1.81922694413269,"LAND"
"73","Ithaca",1.80253781092672,"LL"
"74","Shenandoah",1.76663484638527,"ODAC"
"75","Brandeis",1.75635478018306,"UAA"
"76","Bowdoin",1.71331636791071,"NESCAC"
"77","Penn State-Berks",1.6752540230205,"NEAC"
"78","UW-Eau Claire",1.63184897174874,"WIAC"
"79","Union",1.62768577836083,"LL"
"80","Cortland State",1.62529898528067,"SUNYAC"
"81","Vassar",1.59888402431697,"LL"
"82","Loras",1.58144121306039,"ARC"
"83","Stevenson",1.56105084720415,"MACC"
"84","St. Catherine",1.53122761107335,"MIAC"
"85","Concordia (Wis.)",1.51509181597683,"NACC"
"86","Adrian",1.5141673607074,"MIAA"
"87","Bethel",1.47911876614223,"MIAC"
"88","Denison",1.47448402567004,"NCAC"
"89","Farmingdale State",1.46545638883253,"SKY"
"90","Rowan",1.42909993132787,"NJAC"
"91","Carleton",1.40536238645413,"MIAC"
"92","Wooster",1.40498376436358,"NCAC"
"93","Texas-Dallas",1.40095441425447,"ASC"
"94","Saint Benedict",1.38984217504696,"MIAC"
"95","Maryville (Tenn.)",1.34540980358543,"USAC"
"96","DePauw",1.30805875015958,"NCAC"
"97","Trinity (Conn.)",1.30366808336644,"NESCAC"
"98","Wheaton (Mass.)",1.28319385811108,"NEWMAC"
"99","Hope",1.28252896950438,"MIAA"
"100","RPI",1.26963832941112,"LL"
"101","Wittenberg",1.26248217373707,"NCAC"
"102","UW-Whitewater",1.26169622756851,"WIAC"
"103","Brockport State",1.25313715960714,"SUNYAC"
"104","Springfield",1.24054743249234,"NEWMAC"
"105","Nazareth",1.23640519364004,"E8"
"106","UW-Stevens Point",1.21622055699515,"WIAC"
"107","Moravian",1.20238765133533,"LAND"
"108","Emerson",1.19837687436014,"NEWMAC"
"109","Mary Hardin-Baylor",1.13411788422816,"ASC"
"110","Whittier",1.12864423567568,"SCIAC"
"111","Dubuque",1.11409308339999,"ARC"
"112","Ursinus",1.09900215969042,"CC"
"113","North Central (Ill.)",1.09205253807817,"CCIW"
"114","Cabrini",1.06796372973215,"AEC"
"115","Augustana",1.06316587378957,"CCIW"
"116","Plattsburgh State",1.05957555754616,"SUNYAC"
"117","Willamette",1.02393244047343,"NWC"
"118","Dominican",1.02299709023709,"NACC"
"119","FDU-Florham",1.01289990544995,"MACF"
"120","Hood",1.00949445537814,"MACC"
"121","UW-Oshkosh",0.979749227666822,"WIAC"
