"","Team","Rating","Conference"
"1","Chicago",0.986068498290667,"UAA"
"2","Mass-Boston",0.975908244038508,"LEC"
"3","Texas-Tyler",0.887479418053016,"ASC"
"4","Hardin-Simmons",0.870358508760646,"ASC"
"5","Calvin",0.835790394232245,"MIAA"
"6","Texas-Dallas",0.822107915427027,"ASC"
"7","Amherst",0.811291029252061,"NESCAC"
"8","Rutgers-Newark",0.809471799915005,"NJAC"
"9","Rowan",0.79253317449147,"NJAC"
"10","Case Western Reserve",0.766974992598295,"UAA"
"11","St. Norbert",0.765044775087835,"MWC"
"12","Buffalo State",0.756752486584452,"SUNYAC"
"13","Emory",0.756554841876274,"UAA"
"14","Oneonta State",0.756113877927739,"SUNYAC"
"15","Washington U.",0.75191393849314,"UAA"
"16","Medaille",0.745552902691851,"AMCC"
"17","Luther",0.742176457615349,"IIAC"
"18","Whitworth",0.737769943672193,"NWC"
"19","Middlebury",0.737432453951904,"NESCAC"
"20","New York University",0.73638548260526,"UAA"
"21","Brandeis",0.730968518230558,"UAA"
"22","Augsburg",0.729031184432296,"MIAC"
"23","Puget Sound",0.728096946416189,"NWC"
"24","UW-Superior",0.727101726012139,"UMAC"
"25","Christopher Newport",0.726066721097249,"CAC"
"26","Montclair State",0.72604169215382,"NJAC"
"27","Carthage",0.72158411787524,"CCIW"
"28","Kenyon",0.720285309196543,"NCAC"
"29","Messiah",0.719656933541572,"MACC"
"30","Lycoming",0.717448874162361,"MACC"
"31","Concordia (Texas)",0.714203243614242,"ASC"
"32","Kalamazoo",0.714193354585025,"MIAA"
"33","Mary Washington",0.710924779133164,"CAC"
"34","Trinity (Texas)",0.710582800246319,"SCAC"
"35","Plattsburgh State",0.70962457755817,"SUNYAC"
"36","John Carroll",0.706199759258093,"OAC"
"37","Carnegie Mellon",0.703591743187617,"UAA"
"38","Springfield",0.703484330314693,"NEWMAC"
"39","Adrian",0.700490522237453,"MIAA"
"40","Macalester",0.699588914180955,"MIAC"
"41","UW-Platteville",0.696836108822125,"WIAC"
"42","Albion",0.695609883683821,"MIAA"
"43","New Paltz State",0.693233903714938,"SUNYAC"
"44","Clark",0.692987794718486,"NEWMAC"
"45","Kean",0.692017281652687,"NJAC"
"46","Wheaton (Ill.)",0.691697664586463,"CCIW"
"47","Pacific Lutheran",0.689604235822396,"NWC"
"48","UC Santa Cruz",0.689532910760868,"IND"
"49","Tufts",0.688677246063729,"NESCAC"
"50","York (Pa.)",0.687322731329649,"CAC"
"51","Knox",0.685996134281061,"MWC"
"52","Simpson",0.684792218716271,"IIAC"
"53","Haverford",0.681421356226768,"CC"
"54","Wartburg",0.678646977425099,"IIAC"
"55","Johnson and Wales",0.675308811891074,"GNAC"
"56","Finlandia",0.674820546343279,""
"57","Randolph-Macon",0.674416383976155,"ODAC"
"58","Greensboro",0.673017271877461,"USAC"
"59","UW-Whitewater",0.668842818362928,"WIAC"
"60","Benedictine",0.666553530105319,"NACC"
"61","Lebanon Valley",0.664415307305292,"MACC"
"62","Newbury",0.664368103009682,"NECC"
"63","Drew",0.662254283859183,"LAND"
"64","Wheaton (Mass.)",0.661439307761748,"NEWMAC"
"65","Lynchburg",0.660147345247518,"ODAC"
"66","Whitman",0.659967338371472,"NWC"
"67","DePauw",0.656862093743625,"NCAC"
"68","Bowdoin",0.656695365644287,"NESCAC"
"69","St. Olaf",0.656245101006887,"MIAC"
"70","Clarkson",0.65602989179143,"LL"
"71","Stockton",0.655804676522705,"NJAC"
"72","TCNJ",0.655177512026985,"NJAC"
"73","Keene State",0.65023255098933,"LEC"
"74","Loras",0.64902656020091,"IIAC"
"75","Franklin and Marshall",0.648191815772306,"CC"
"76","Grove City",0.648176949055789,"PrAC"
"77","Ohio Northern",0.647545840330268,"OAC"
"78","Connecticut College",0.646200157424161,"NESCAC"
"79","North Carolina Wesleyan",0.64414249556934,"USAC"
"80","Morrisville State",0.640023980756847,"NEAC"
"81","Johns Hopkins",0.638972321691217,"CC"
"82","Misericordia",0.638676408566219,"MACF"
"83","Rochester",0.63854534868538,"UAA"
"84","Hanover",0.638174202023441,"HCAC"
"85","Maryville (Tenn.)",0.638149949365696,"USAC"
"86","Pacific",0.637341441534349,"NWC"
"87","St. John's",0.634869525832556,"MIAC"
"88","Heidelberg",0.634550387564435,"OAC"
"89","Oberlin",0.633698970321177,"NCAC"
"90","Milwaukee Engineering",0.632175964236181,"NACC"
"91","St. Thomas",0.63186355059476,"MIAC"
"92","Grinnell",0.631422641689472,"MWC"
