"","Team","Rating","Conference"
"1","Chicago",0.983176778204849,"UAA"
"2","Mass-Boston",0.975139640498326,"LEC"
"3","Texas-Tyler",0.887380346465524,"ASC"
"4","Hardin-Simmons",0.870383003928744,"ASC"
"5","Texas-Dallas",0.821977807366732,"ASC"
"6","Amherst",0.810763524297709,"NESCAC"
"7","Calvin",0.809588994040265,"MIAA"
"8","Rutgers-Newark",0.809398500952408,"NJAC"
"9","Rowan",0.791440884259441,"NJAC"
"10","Case Western Reserve",0.767877348765278,"UAA"
"11","St. Norbert",0.764718825766719,"MWC"
"12","Oneonta State",0.755401005931283,"SUNYAC"
"13","Buffalo State",0.755304995014356,"SUNYAC"
"14","Emory",0.754267607871561,"UAA"
"15","Washington U.",0.749028230475537,"UAA"
"16","Medaille",0.74608226177157,"AMCC"
"17","Luther",0.741701722342993,"IIAC"
"18","Whitworth",0.737692526380826,"NWC"
"19","Middlebury",0.73687812800662,"NESCAC"
"20","New York University",0.730851668055495,"UAA"
"21","Augsburg",0.728876053128447,"MIAC"
"22","Brandeis",0.728235357469829,"UAA"
"23","Puget Sound",0.728054041807424,"NWC"
"24","Christopher Newport",0.727484755409927,"CAC"
"25","UW-Superior",0.727054745612227,"UMAC"
"26","Kenyon",0.726041387494565,"NCAC"
"27","Montclair State",0.72231385346773,"NJAC"
"28","Messiah",0.720841476201257,"MACC"
"29","Carthage",0.718394782166737,"CCIW"
"30","Lycoming",0.715411080924501,"MACC"
"31","Concordia (Texas)",0.714262095018052,"ASC"
"32","Mary Washington",0.711431484424499,"CAC"
"33","Trinity (Texas)",0.710615907161664,"SCAC"
"34","John Carroll",0.709632241527822,"OAC"
"35","Kalamazoo",0.709412736961618,"MIAA"
"36","Plattsburgh State",0.707077400961008,"SUNYAC"
"37","Springfield",0.702936741013381,"NEWMAC"
"38","Macalester",0.699357281950164,"MIAC"
"39","Adrian",0.697612184344677,"MIAA"
"40","UW-Platteville",0.69632418027643,"WIAC"
"41","Clark",0.692381911605158,"NEWMAC"
"42","New Paltz State",0.691673122809981,"SUNYAC"
"43","Albion",0.691337061340174,"MIAA"
"44","Kean",0.691209713503995,"NJAC"
"45","Wheaton (Ill.)",0.690831332073687,"CCIW"
"46","Pacific Lutheran",0.689588495016391,"NWC"
"47","UC Santa Cruz",0.689277530486065,"IND"
"48","Tufts",0.688032582287002,"NESCAC"
"49","York (Pa.)",0.687449245132067,"CAC"
"50","Knox",0.685732314595419,"MWC"
"51","Simpson",0.684425525864605,"IIAC"
"52","Wartburg",0.678187905504864,"IIAC"
"53","Randolph-Macon",0.677856339879911,"ODAC"
"54","Ohio Northern",0.677139894279588,"OAC"
"55","Haverford",0.677082822835045,"CC"
"56","Finlandia",0.676188903922844,""
"57","Greensboro",0.674971460058852,"USAC"
"58","Johnson and Wales",0.67475148451552,"GNAC"
"59","Carnegie Mellon",0.672191701278834,"UAA"
"60","UW-Whitewater",0.668191309095235,"WIAC"
"61","Lynchburg",0.664893590939803,"ODAC"
"62","Benedictine",0.664604921269744,"NACC"
"63","Lebanon Valley",0.663971543479614,"MACC"
"64","Newbury",0.663908760183023,"NECC"
"65","DePauw",0.662293468526611,"NCAC"
"66","Drew",0.661210684140337,"LAND"
"67","Wheaton (Mass.)",0.660894945602663,"NEWMAC"
"68","Whitman",0.659949910185025,"NWC"
"69","Bowdoin",0.65618906542976,"NESCAC"
"70","St. Olaf",0.656021632643297,"MIAC"
"71","Stockton",0.654938118992909,"NJAC"
"72","TCNJ",0.654149862365966,"NJAC"
"73","Grove City",0.651354725908959,"PrAC"
"74","Clarkson",0.65086867072099,"LL"
"75","Keene State",0.649474756633603,"LEC"
"76","Loras",0.648310025769288,"IIAC"
"77","North Carolina Wesleyan",0.645992025967314,"USAC"
"78","Connecticut College",0.645683279748709,"NESCAC"
"79","Hanover",0.642293248457131,"HCAC"
"80","Oberlin",0.641992209230112,"NCAC"
"81","Morrisville State",0.639478438079515,"NEAC"
"82","Maryville (Tenn.)",0.639341523230323,"USAC"
"83","Heidelberg",0.638730158336946,"OAC"
"84","Misericordia",0.637638237006505,"MACF"
"85","Pacific",0.637310095245102,"NWC"
"86","Johns Hopkins",0.635492323887472,"CC"
"87","St. John's",0.634614611661759,"MIAC"
"88","Rochester",0.634472159850055,"UAA"
"89","Milwaukee Engineering",0.63175542923059,"NACC"
"90","St. Thomas",0.631649099754093,"MIAC"
"91","Grinnell",0.630942294631646,"MWC"
"92","St. Joseph's (Maine)",0.629497526437874,"GNAC"
"93","Colorado College",0.629304303773988,"SCAC"
"94","Virginia Wesleyan",0.627475310886505,"ODAC"
"95","University of the Ozarks",0.627472629079907,"ASC"
"96","Saint Mary's (Minn.)",0.627182995065056,"MIAC"
"97","Geneseo State",0.62666390006051,"SUNYAC"
"98","Frostburg State",0.62636441841844,"CAC"
"99","Franklin and Marshall",0.623082537130379,"CC"
"100","Rhode Island College",0.622547115074767,"LEC"
"101","Gettysburg",0.620374932959493,"CC"
"102","Oglethorpe",0.618509658387219,"SAA"
"103","Rose-Hulman",0.618417857785383,"HCAC"
"104","Belhaven",0.616888393280191,"ASC"
"105","Alma",0.613715818033189,"MIAA"
"106","Lake Forest",0.61316832931055,"MWC"
"107","Houghton",0.610477124690908,"E8"
"108","Thomas More",0.610454647041605,"PrAC"
"109","Willamette",0.609632989175845,"NWC"
"110","Elizabethtown",0.608409861120228,"LAND"
"111","Brockport State",0.608000946359696,"SUNYAC"
"112","Concordia (Wis.)",0.606721295140665,"NACC"
"113","Aurora",0.606179892776742,"NACC"
"114","Endicott",0.605057595806207,"CCC"
"115","Scranton",0.604889433879189,"LAND"
"116","RPI",0.60382775459948,"LL"
"117","Arcadia",0.602674423716839,"MACC"
"118","William Paterson",0.601195003371881,"NJAC"
"119","Moravian",0.600995795597535,"LAND"
"120","Washington and Lee",0.600815221884162,"ODAC"
"121","Mount Union",0.599324363109639,"OAC"
"122","Hamilton",0.59714167499931,"NESCAC"
"123","Coast Guard",0.59691236855529,"NEWMAC"
"124","Susquehanna",0.596671232724007,"LAND"
"125","Methodist",0.595852276666647,"USAC"
"126","St. Lawrence",0.595377980038706,"LL"
"127","St. Mary's (Md.)",0.594764563229517,"CAC"
"128","Norwich",0.59437947358668,"GNAC"
"129","Manhattanville",0.593807477753794,"MACF"
"130","Central",0.592582932225986,"IIAC"
"131","Cortland State",0.592333308360896,"SUNYAC"
"132","Rutgers-Camden",0.589032046249292,"NJAC"
"133","Vassar",0.589008183832337,"LL"
"134","Catholic",0.588980788627327,"LAND"
"135","Trinity (Conn.)",0.587378774840832,"NESCAC"
