"","Team","Rating","Conference"
"1","Amherst",5.78127783250788,"NESCAC"
"2","Trinity (Texas)",4.6533572218929,"SCAC"
"3","Messiah",4.63551364739735,"MACC"
"4","Chicago",4.60141978974511,"UAA"
"5","Redlands",4.5069682166128,"SCIAC"
"6","Mass-Boston",4.45471430770179,"LEC"
"7","Rowan",4.0581155775164,"NJAC"
"8","Rutgers-Newark",4.04527513944131,"NJAC"
"9","Springfield",3.99782030422085,"NEWMAC"
"10","Oneonta State",3.98910360941727,"SUNYAC"
"11","Montclair State",3.91855597883876,"NJAC"
"12","Tufts",3.81317710901083,"NESCAC"
"13","Christopher Newport",3.60300860564946,"CAC"
"14","Bowdoin",3.23395816641182,"NESCAC"
"15","Chapman",3.16631845300099,"SCIAC"
"16","Maryville (Tenn.)",3.15257447031984,"USAC"
"17","Middlebury",3.10646348021765,"NESCAC"
"18","Cortland State",3.08091047416662,"SUNYAC"
"19","Ohio Northern",3.06397593299453,"OAC"
"20","Franklin and Marshall",3.0602946472629,"CC"
"21","Hamilton",2.95881996641539,"NESCAC"
"22","Williams",2.81371562296764,"NESCAC"
"23","Lynchburg",2.80841341724105,"ODAC"
"24","Elizabethtown",2.78419005354171,"LAND"
"25","Washington and Lee",2.77437930424467,"ODAC"
"26","Babson",2.7278237197958,"NEWMAC"
"27","Haverford",2.69837482191021,"CC"
"28","Wheaton (Mass.)",2.6792864010953,"NEWMAC"
"29","La Verne",2.6299964377666,"SCIAC"
"30","Kenyon",2.62469525604908,"NCAC"
"31","Calvin",2.57446442766965,"MIAA"
"32","Brandeis",2.48535629273569,"UAA"
"33","Gordon",2.34832204746592,"CCC"
"34","Scranton",2.34376209632684,"LAND"
"35","Rhode Island College",2.33009328991494,"LEC"
"36","Connecticut College",2.31370032148683,"NESCAC"
"37","Lycoming",2.29954364187725,"MACC"
"38","Kean",2.29270646506478,"NJAC"
"39","Rutgers-Camden",2.23959504500907,"NJAC"
"40","Vassar",2.2242028927375,"LL"
"41","Colorado College",2.20469559919514,"SCAC"
"42","Carnegie Mellon",2.19471292594326,"UAA"
"43","John Carroll",2.19377800948281,"OAC"
"44","Johns Hopkins",2.16949559752449,"CC"
"45","Mary Washington",2.10004669558033,"CAC"
"46","Whitworth",2.05280714687464,"NWC"
"47","TCNJ",2.05072804725095,"NJAC"
"48","Lebanon Valley",2.03632869607261,"MACC"
"49","Carthage",1.99084147228349,"CCIW"
"50","Penn State-Behrend",1.97225258785669,"AMCC"
"51","Drew",1.96979604396696,"LAND"
"52","Clark",1.96235634649141,"NEWMAC"
"53","Washington U.",1.91730915326924,"UAA"
"54","Case Western Reserve",1.88344527012033,"UAA"
"55","Oberlin",1.83151904433058,"NCAC"
"56","Gettysburg",1.83066735002577,"CC"
"57","Misericordia",1.82971977112609,"MACF"
"58","Cal Lutheran",1.82826239184301,"SCIAC"
"59","Texas-Dallas",1.81412459481571,"ASC"
"60","St. Lawrence",1.79058254162896,"LL"
"61","Pomona-Pitzer",1.77565890574906,"SCIAC"
"62","Ramapo",1.76192191441271,"NJAC"
"63","Thomas",1.75878559484922,"NAC"
"64","Hood",1.75124160105114,"MACC"
"65","Claremont-Mudd-Scripps",1.74051566650224,"SCIAC"
"66","Loras",1.72951666598645,"IIAC"
"67","Eastern",1.72800647312595,"MACF"
"68","New Paltz State",1.71614956335943,"SUNYAC"
"69","Houghton",1.71098458083259,"E8"
"70","Dickinson",1.70558535211001,"CC"
"71","Endicott",1.67356792634163,"CCC"
"72","Emory",1.67189651117941,"UAA"
"73","Pacific Lutheran",1.65458698831538,"NWC"
"74","Buffalo State",1.62835036286348,"SUNYAC"
"75","Wentworth",1.62788371355981,"CCC"
"76","Plattsburgh State",1.62368896564249,"SUNYAC"
"77","UW-Whitewater",1.62071428871261,"WIAC"
"78","Luther",1.6183654203818,"IIAC"
"79","North Carolina Wesleyan",1.61662888864785,"USAC"
"80","St. Thomas",1.59768943911865,"MIAC"
"81","Rochester",1.59761470879723,"UAA"
"82","Fredonia State",1.59111961905299,"SUNYAC"
"83","St. Mary's (Md.)",1.58134057627083,"CAC"
"84","RPI",1.57932975461122,"LL"
"85","Wesleyan",1.57362685243929,"NESCAC"
"86","Morrisville State",1.56528464750962,"NEAC"
"87","York (Pa.)",1.55941956714489,"CAC"
"88","Ohio Wesleyan",1.55574478428457,"NCAC"
"89","Puget Sound",1.54438764076188,"NWC"
"90","Coast Guard",1.53534343345461,"NEWMAC"
"91","Washington College",1.53250584624046,"CC"
"92","WPI",1.52049694594523,"NEWMAC"
"93","Frostburg State",1.51162182591013,"CAC"
"94","Mass-Dartmouth",1.50644453155704,"LEC"
"95","Randolph-Macon",1.48860176270347,"ODAC"
"96","Grove City",1.47877339173854,"PrAC"
"97","Keene State",1.47152200364803,"LEC"
"98","Hanover",1.46852721166034,"HCAC"
"99","Roanoke",1.46809850169725,"ODAC"
"100","Centre",1.46322469758968,"SAA"
"101","Macalester",1.45931257772503,"MIAC"
"102","Geneseo State",1.45495152475419,"SUNYAC"
"103","Stevens",1.45127622714918,"E8"
"104","Occidental",1.44462834120069,"SCIAC"
"105","St. Norbert",1.43279094524282,"MWC"
"106","DePauw",1.42461449350249,"NCAC"
"107","Trinity (Conn.)",1.41749096903684,"NESCAC"
"108","Stockton",1.3677030023825,"NJAC"
"109","Hobart",1.36433129521626,"LL"
"110","Benedictine",1.36289233777881,"NACC"
"111","Manhattanville",1.360934406565,"MACF"
"112","Bates",1.35835078490244,"NESCAC"
"113","Skidmore",1.35183620477136,"LL"
"114","Pacific",1.34756433381624,"NWC"
"115","Whitman",1.34688508855894,"NWC"
"116","Rose-Hulman",1.3464806152782,"HCAC"
"117","Western New England",1.34451323778539,"CCC"
"118","Wabash",1.33540317418985,"NCAC"
"119","Hardin-Simmons",1.31321924900999,"ASC"
"120","Eastern Connecticut",1.29735026629517,"LEC"
"121","Virginia Wesleyan",1.2760022616298,"ODAC"
"122","Geneva",1.27556756642705,"PrAC"
"123","Medaille",1.27061284448587,"AMCC"
"124","Randolph",1.24434915252837,"ODAC"
"125","Knox",1.23802928419019,"MWC"
"126","Clarkson",1.22539163573308,"LL"
"127","St. Joseph's (Maine)",1.2206108750337,"GNAC"
"128","MIT",1.21304225241056,"NEWMAC"
"129","Mary Hardin-Baylor",1.19482611550434,"ASC"
"130","Johnson and Wales",1.19408554955407,"GNAC"
"131","Austin",1.19275642750519,"SCAC"
"132","Wartburg",1.1747325321826,"IIAC"
"133","North Park",1.17191691030067,"CCIW"
"134","Wheaton (Ill.)",1.16788825408288,"CCIW"
"135","Thomas More",1.16754490752963,"PrAC"
"136","Willamette",1.1674419128882,"NWC"
"137","Concordia (Texas)",1.1566441956705,"ASC"
"138","Susquehanna",1.15439828297125,"LAND"
"139","Swarthmore",1.14696992547172,"CC"
"140","Penn State-Harrisburg",1.14680556025335,"CAC"
"141","University of Dallas",1.14482966258159,"SCAC"
"142","Union",1.14209046318696,"LL"
"143","Colby",1.13944524041624,"NESCAC"
"144","Capital",1.13840842963918,"OAC"
"145","Merchant Marine",1.12310077048977,"SKY"
"146","Norwich",1.1223291182343,"GNAC"
"147","Salisbury",1.1215709332015,"CAC"
"148","Texas-Tyler",1.11634554925497,"ASC"
"149","Alvernia",1.11493035981766,"MACC"
"150","Potsdam State",1.09622899479642,"SUNYAC"
"151","Centenary (N.J.)",1.08396163847218,"CSAC"
