"","Team","Rating","Conference"
"1","TCNJ",17.128534704163,"NJAC"
"2","William Smith",15.6688691989698,"LL"
"3","Williams",10.7333987663834,"NESCAC"
"4","Stevens",9.44512346617336,"E8"
"5","Johns Hopkins",9.31849047672314,"CC"
"6","Messiah",8.71145617874035,"MACC"
"7","Pomona-Pitzer",8.59760591539316,"SCIAC"
"8","Thomas More",8.33378711179988,"PrAC"
"9","Amherst",7.67881648205542,"NESCAC"
"10","Hardin-Simmons",6.82419134352129,"ASC"
"11","Lynchburg",6.57121104162104,"ODAC"
"12","McDaniel",6.22864013780017,"CC"
"13","Scranton",6.09849361082629,"LAND"
"14","Trinity (Conn.)",5.96292462162367,"NESCAC"
"15","Middlebury",5.80978764241183,"NESCAC"
"16","Trinity (Texas)",5.67685205122556,"SCAC"
"17","Arcadia",5.05774693580318,"MACC"
"18","Misericordia",4.68900640138436,"MACF"
"19","Claremont-Mudd-Scripps",4.66929758826688,"SCIAC"
"20","Chicago",4.21860565792258,"UAA"
"21","Pacific Lutheran",4.19450234577806,"NWC"
"22","Cal Lutheran",4.08056650063714,"SCIAC"
"23","Nazareth",4.03893604904007,"E8"
"24","Rowan",3.99969158678463,"NJAC"
"25","Connecticut College",3.87599878644451,"NESCAC"
"26","Swarthmore",3.75082344749179,"CC"
"27","Geneseo State",3.73179483736929,"SUNYAC"
"28","RPI",3.7195995989276,"LL"
"29","Bowdoin",3.56428561661253,"NESCAC"
"30","Puget Sound",3.43107989311115,"NWC"
"31","Washington U.",3.40973486940957,"UAA"
"32","Buffalo State",3.30919617128601,"SUNYAC"
"33","Carnegie Mellon",3.27205542883938,"UAA"
"34","New York University",3.26838120020417,"UAA"
"35","Washington and Lee",3.22123847358575,"ODAC"
"36","Wentworth",3.20722170142247,"CCC"
"37","Montclair State",2.97582434961532,"NJAC"
"38","Brandeis",2.93447836139437,"UAA"
"39","Tufts",2.88886495155937,"NESCAC"
"40","Whittier",2.88626951426394,"SCIAC"
"41","Keene State",2.83861441148326,"LEC"
"42","Centre",2.83495573608386,"SAA"
"43","MIT",2.65788064167439,"NEWMAC"
"44","Ursinus",2.65771686734175,"CC"
"45","Virginia Wesleyan",2.58566064426421,"ODAC"
"46","Haverford",2.48935622496552,"CC"
"47","Vassar",2.42853088281322,"LL"
"48","Oneonta State",2.38355095086691,"SUNYAC"
"49","St. Lawrence",2.37722227522793,"LL"
"50","Emory",2.36116798057393,"UAA"
