"","Team","Rating","Conference"
"1","Chicago",6.58297645706242,"UAA"
"2","Calvin",6.46083060819236,"MIAA"
"3","North Park",6.42997343790847,"CCIW"
"4","Messiah",5.34706131169125,"MACC"
"5","Trinity (Texas)",4.94958143938085,"SCAC"
"6","Drew",4.85819304876539,"LAND"
"7","Emory",4.74098600670511,"UAA"
"8","Brandeis",4.52230633481364,"UAA"
"9","Lycoming",4.44246561412158,"MACC"
"10","Tufts",4.3690699921886,"NESCAC"
"11","Rutgers-Newark",4.18112181124847,"NJAC"
"12","Oglethorpe",4.04443663178294,"SAA"
"13","Rowan",3.87134305501859,"NJAC"
"14","Lynchburg",3.82099561219326,"ODAC"
"15","Johns Hopkins",3.66311034770213,"CC"
"16","John Carroll",3.48371989311496,"OAC"
"17","St. Thomas",3.37091028862523,"MIAC"
"18","Rochester",3.35855464122929,"UAA"
"19","Otterbein",3.21513908050899,"OAC"
"20","Washington and Lee",3.15981309383484,"ODAC"
"21","Kenyon",3.12360483857961,"NCAC"
"22","Oneonta State",3.09808599580066,"SUNYAC"
"23","Cortland State",3.08807291607377,"SUNYAC"
"24","Mary Hardin-Baylor",2.99563189023771,"ASC"
"25","Springfield",2.65479930803667,"NEWMAC"
"26","Redlands",2.64996003969214,"SCIAC"
"27","Amherst",2.57119143113605,"NESCAC"
"28","St. Joseph's (Maine)",2.5424636397845,"GNAC"
"29","Carnegie Mellon",2.47508121416253,"UAA"
"30","Connecticut College",2.39110394200028,"NESCAC"
"31","Case Western Reserve",2.31271260535604,"UAA"
"32","Pacific Lutheran",2.30578498021828,"NWC"
"33","Mary Washington",2.29111241867376,"CAC"
"34","Christopher Newport",2.29058862300764,"CAC"
"35","Hobart",2.28269843486663,"LL"
"36","Franklin and Marshall",2.27777904412803,"CC"
"37","Loras",2.26696864985489,"IIAC"
"38","Capital",2.19623671210932,"OAC"
"39","Ohio Wesleyan",2.19586981972437,"NCAC"
"40","Dickinson",2.18364865484922,"CC"
"41","Cal Lutheran",2.16531112386867,"SCIAC"
"42","Plattsburgh State",2.10479658554369,"SUNYAC"
"43","Stevens",2.08128660174737,"E8"
"44","Gettysburg",2.07454371962154,"CC"
"45","Bowdoin",2.06329212440017,"NESCAC"
"46","Whitman",2.06013204980654,"NWC"
"47","Lebanon Valley",2.04417160767904,"MACC"
"48","WPI",2.02876826588257,"NEWMAC"
"49","Colorado College",2.01003689744603,"SCAC"
"50","Texas-Tyler",1.9728543278456,"ASC"
"51","Whitworth",1.94878800312853,"NWC"
"52","Randolph-Macon",1.93950556642454,"ODAC"
"53","Wheaton (Ill.)",1.93750405939428,"CCIW"
"54","Williams",1.91894989548509,"NESCAC"
"55","Puget Sound",1.90850136521694,"NWC"
"56","Buffalo State",1.8857100454129,"SUNYAC"
"57","University of Dallas",1.87168386960184,"SCAC"
"58","Ohio Northern",1.83868771189777,"OAC"
