"","Team","Rating","Conference"
"1","Middlebury",12.0683527304186,"NESCAC"
"2","Washington U.",10.9124418036044,"UAA"
"3","Messiah",10.3113650368474,"MACC"
"4","Williams",9.69926331132028,"NESCAC"
"5","Amherst",8.32641401695679,"NESCAC"
"6","Christopher Newport",8.09445952727152,"CAC"
"7","Swarthmore",8.01286489700824,"CC"
"8","William Smith",7.92589440598368,"LL"
"9","Lynchburg",7.10313291377869,"ODAC"
"10","Misericordia",6.56599563834366,"MACF"
"11","MIT",6.3525910756921,"NEWMAC"
"12","Stevens",5.6962955101976,"E8"
"13","Hardin-Simmons",5.51872201597842,"ASC"
"14","Johns Hopkins",5.51022084328896,"CC"
"15","Centre",5.2357274853102,"SAA"
"16","TCNJ",5.00087895099527,"NJAC"
"17","Wheaton (Ill.)",4.9349281709109,"CCIW"
"18","Tufts",4.74855907509611,"NESCAC"
"19","Scranton",4.70257335582545,"LAND"
"20","St. Thomas",4.35305220802898,"MIAC"
"21","Emory",4.11417652530419,"UAA"
"22","RIT",3.95482154360996,"LL"
"23","Chicago",3.94131761879188,"UAA"
"24","Brandeis",3.80875788873134,"UAA"
"25","Ithaca",3.80857409342749,"LL"
"26","Farmingdale State",3.76669565882917,"SKY"
"27","Rowan",3.61902559111202,"NJAC"
"28","Hope",3.5694064172051,"MIAA"
"29","Arcadia",3.56330380625911,"MACC"
"30","UW-La Crosse",3.5500257864178,"WIAC"
"31","Penn State-Berks",3.52796673750805,"NEAC"
"32","Springfield",3.21515211838028,"NEWMAC"
"33","Hamilton",3.08494787772552,"NESCAC"
"34","Bowdoin",3.06612860136298,"NESCAC"
"35","Geneseo State",3.01327056915342,"SUNYAC"
"36","New York University",2.94460450601653,"UAA"
"37","Wesleyan",2.84952130930573,"NESCAC"
"38","Dickinson",2.81516122444819,"CC"
"39","Montclair State",2.69995826487623,"NJAC"
"40","Connecticut College",2.63721967273964,"NESCAC"
"41","McDaniel",2.61591954910079,"CC"
"42","Adrian",2.59254532883401,"MIAA"
"43","Illinois Wesleyan",2.57562546272899,"CCIW"
"44","Bridgewater (Va.)",2.43909493960337,"ODAC"
"45","Vassar",2.37789937278047,"LL"
"46","St. Lawrence",2.37358738644351,"LL"
"47","Mount St. Joseph",2.3275498415,"HCAC"
"48","Otterbein",2.27132911844125,"OAC"
"49","Rochester",2.22700768924765,"UAA"
"50","Gettysburg",2.22605919585744,"CC"
"51","Grove City",2.22490915139205,"PrAC"
"52","Haverford",2.13707689807406,"CC"
"53","Susquehanna",2.11816983447101,"LAND"
"54","Augsburg",2.06986134215744,"MIAC"
"55","Augustana",2.05610380325025,"CCIW"
"56","Pacific Lutheran",2.04353810310195,"NWC"
"57","Potsdam State",1.99722609674474,"SUNYAC"
"58","Denison",1.99612025018368,"NCAC"
"59","Randolph-Macon",1.94353786031045,"ODAC"
"60","Nazareth",1.92288210350338,"E8"
"61","Trinity (Conn.)",1.91316667982948,"NESCAC"
"62","Cortland State",1.90302749552884,"SUNYAC"
"63","Ohio Northern",1.87082178206967,"OAC"
"64","Virginia Wesleyan",1.82775669784669,"ODAC"
"65","Wartburg",1.79184075302934,"ARC"
"66","Trinity (Texas)",1.78551707638958,"SCAC"
"67","Loras",1.77771452984588,"ARC"
"68","Carnegie Mellon",1.75850775509741,"UAA"
"69","Texas-Dallas",1.75565802081873,"ASC"
"70","Skidmore",1.75211411112314,"LL"
"71","Calvin",1.71532873373546,"MIAA"
"72","Albright",1.66935451548667,"MACC"
"73","WPI",1.64349304704213,"NEWMAC"
"74","Puget Sound",1.6382033372756,"NWC"
"75","Wilkes",1.6132939039893,"MACF"
"76","Wooster",1.58451795305919,"NCAC"
"77","Plattsburgh State",1.57505473305478,"SUNYAC"
"78","Oneonta State",1.55467069551345,"SUNYAC"
"79","Colby",1.53676411744255,"NESCAC"
"80","Hanover",1.53400424406564,"HCAC"
"81","Stockton",1.51210567464064,"NJAC"
"82","Wheaton (Mass.)",1.50058292685348,"NEWMAC"
"83","Washington and Lee",1.48318788492724,"ODAC"
"84","UW-Stevens Point",1.46286606284205,"WIAC"
"85","Mary Hardin-Baylor",1.45293381220034,"ASC"
"86","Hartwick",1.44200610589719,"E8"
"87","Case Western Reserve",1.430818113577,"UAA"
"88","RPI",1.41932518309285,"LL"
"89","FDU-Florham",1.40379285490987,"MACF"
"90","Union",1.38870938548949,"LL"
"91","Bethel",1.38408974473906,"MIAC"
"92","Moravian",1.33454540628905,"LAND"
"93","Clarkson",1.33409279460456,"LL"
"94","Pomona-Pitzer",1.31959837288693,"SCIAC"
"95","Dominican",1.30412575228846,"NACC"
"96","Kean",1.29933892490109,"NJAC"
"97","New England College",1.29165182238919,"NECC"
"98","Coast Guard",1.28734291407408,"NEWMAC"
"99","Endicott",1.28446109269711,"CCC"
"100","Washington College",1.27882069617361,"CC"
"101","Smith",1.25372202273381,"NEWMAC"
"102","Kalamazoo",1.25192707241895,"MIAA"
"103","Emerson",1.24817529955813,"NEWMAC"
"104","Babson",1.23241228193276,"NEWMAC"
"105","Cal Lutheran",1.22215715289166,"SCIAC"
"106","Capital",1.21191435644911,"OAC"
"107","Piedmont",1.20317552448435,"USAC"
"108","Catholic",1.19833739785859,"LAND"
"109","Willamette",1.19210195815047,"NWC"
"110","St. Olaf",1.18751712058449,"MIAC"
"111","Linfield",1.17171091373613,"NWC"
"112","Clark",1.1694028254536,"NEWMAC"
"113","Eastern Connecticut",1.12505202412676,"LEC"
"114","Mount St. Mary",1.1227235726935,"SKY"
"115","Gordon",1.11168011108251,"CCC"
"116","Occidental",1.10594282558978,"SCIAC"
"117","St. Catherine",1.09114670176096,"MIAC"
"118","Rutgers-Camden",1.06322430661816,"NJAC"
"119","Ursinus",1.06016186429086,"CC"
"120","Lesley",1.05312594219833,"NECC"
"121","Maryville (Tenn.)",1.05150781633267,"USAC"
"122","Western Connecticut",1.04949928007428,"LEC"
"123","Whitworth",1.03480016726215,"NWC"
"124","Dubuque",1.02277447097835,"ARC"
"125","Wellesley",1.00704152365694,"NEWMAC"
"126","Carroll",1.00413701005791,"CCIW"
"127","St. John Fisher",0.986661446258215,"E8"
"128","Lebanon Valley",0.983216334550245,"MACC"
"129","Carleton",0.969997564124353,"MIAC"
"130","Mary Washington",0.969608482986032,"CAC"
"131","Pfeiffer",0.967291580373852,"USAC"
"132","Mass-Boston",0.959991281647713,"LEC"
"133","Muhlenberg",0.957901102546416,"CC"
"134","Luther",0.95531470664088,"ARC"
"135","Saint Benedict",0.952433992778668,"MIAC"
"136","Bates",0.947879792963211,"NESCAC"
"137","Oswego State",0.936682034958028,"SUNYAC"
"138","George Fox",0.935508928912193,"NWC"
"139","Roanoke",0.924358217810155,"ODAC"
"140","Widener",0.922358943159201,"MACC"
"141","Penn State-Behrend",0.919071546894798,"AMCC"
"142","Webster",0.913317022921147,"SLIAC"
"143","Brockport State",0.895916881789393,"SUNYAC"
"144","York (Pa.)",0.889590352318046,"CAC"
"145","Carthage",0.87117298478156,"CCIW"
"146","Utica",0.867235588643331,"E8"
"147","Mount Union",0.86395116345674,"OAC"
"148","Castleton",0.842264913843416,"LEC"
"149","Westfield State",0.840237779803054,"MASCAC"
"150","Albion",0.8367110186409,"MIAA"
"151","University of New England",0.823436668032147,"CCC"
"152","Sage",0.822550068182102,"E8"
"153","Bridgewater State",0.818483025868093,"MASCAC"
"154","Centenary (N.J.)",0.809848754450803,"CSAC"
"155","UW-Eau Claire",0.807751215511819,"WIAC"
"156","Salisbury",0.79905896324829,"CAC"
"157","Central",0.798336091342129,"ARC"
"158","Chapman",0.797137374919103,"SCIAC"
"159","Keuka",0.788583880581288,"NEAC"
"160","Frostburg State",0.7661437918845,"CAC"
"161","Knox",0.763801438828327,"MWC"
"162","UW-Whitewater",0.757042547913081,"WIAC"
"163","Rutgers-Newark",0.754455022792052,"NJAC"
"164","Emmanuel",0.753634948984893,"GNAC"
"165","Alfred",0.752846406248956,"E8"
"166","Coe",0.749100460581282,"ARC"
"167","Gustavus Adolphus",0.743639349023547,"MIAC"
"168","Westminster (Pa.)",0.737433762539406,"PrAC"
"169","Elizabethtown",0.734493308407525,"LAND"
"170","Greensboro",0.719756678031024,"USAC"
"171","Kenyon",0.719182633043262,"NCAC"
"172","Wentworth",0.717425498142075,"CCC"
"173","Johnson and Wales",0.717216282655196,"GNAC"
"174","Drew",0.712127718001087,"LAND"
"175","Lasell",0.701497533684432,"GNAC"
"176","Transylvania",0.697476875641209,"HCAC"
"177","Penn State-Harrisburg",0.693786801592017,"CAC"
"178","Claremont-Mudd-Scripps",0.6811992905952,"SCIAC"
